1283341602.66
1	8	kata	0	0	13.0309998989
2	8	mikko	1	1	30.0629999638
3	6	kata	1	0	65.125
4	2	kata	0	1	81.1559998989
5	2	mikko	0	1	97.1879999638
6	8	mikko	0	0	123.187999964
7	1	mikko	1	1	139.219000101
8	3	mikko	0	0	158.25
9	7	kata	1	1	182.280999899
10	6	kata	0	1	200.296999931
11	2	kata	0	0	217.296999931
12	3	kata	1	1	235.328000069
13	4	mikko	1	1	253.344000101
14	3	kata	1	1	271.358999968
15	4	mikko	1	0	290.375
16	4	mikko	1	0	307.375
17	4	kata	0	1	327.391000032
18	2	mikko	1	0	345.391000032
19	6	mikko	1	1	363.405999899
20	8	mikko	1	0	382.421999931
21	8	kata	1	0	400.421999931
22	2	kata	0	1	420.437999964
23	3	mikko	0	1	438.437999964
24	8	kata	0	0	457.453000069
25	6	mikko	0	1	476.469000101
26	5	kata	0	1	492.469000101
27	6	kata	1	0	509.483999968
28	6	mikko	0	0	528.5
29	4	kata	0	1	545.5
30	4	kata	1	0	565.516000032
31	2	mikko	0	0	588.530999899
32	4	kata	1	0	607.530999899
33	3	mikko	1	1	624.546999931
34	1	mikko	1	0	646.546999931
35	3	mikko	0	1	663.562999964
36	2	mikko	1	0	682.578000069
37	5	mikko	0	1	701.594000101
38	5	mikko	1	1	718.608999968
39	7	mikko	1	1	737.625
40	7	kata	0	1	756.641000032
41	1	kata	1	1	775.75
42	3	mikko	0	1	793.796999931
43	6	mikko	1	1	809.812999964
44	8	mikko	0	0	829.844000101
45	1	kata	0	1	847.858999968
46	8	kata	0	0	865.875
47	8	kata	1	0	884.891000032
48	1	kata	1	1	902.891000032
49	2	kata	0	1	920.921999931
50	3	kata	0	0	943.937999964
51	1	kata	1	0	962.937999964
52	4	kata	0	0	980.969000101
53	7	mikko	0	1	998.983999968
54	8	mikko	1	0	1022.98399997
55	3	kata	1	1	1041.01600003
56	7	kata	1	0	1059.01600003
57	4	mikko	0	0	1079.0309999
58	8	kata	0	1	1098.0309999
59	1	mikko	0	1	1116.06299996
60	2	mikko	0	0	1135.0940001
61	3	kata	0	1	1154.0940001
62	7	mikko	0	0	1172.10899997
63	1	kata	1	1	1190.125
64	3	kata	1	1	1207.125
65	1	kata	1	1	1224.14100003
66	1	kata	0	1	1241.14100003
67	3	mikko	1	1	1260.1559999
68	6	mikko	1	0	1277.17199993
69	4	kata	1	0	1294.17199993
70	5	mikko	0	1	1313.2190001
71	6	kata	0	0	1331.23399997
72	2	kata	1	0	1348.25
73	5	mikko	0	1	1365.25
74	7	kata	0	0	1385.26600003
75	1	mikko	0	0	1404.2809999
76	4	kata	0	1	1423.29699993
77	2	kata	0	1	1440.29699993
78	7	mikko	1	1	1459.31299996
79	7	kata	0	0	1477.32800007
80	3	kata	0	0	1495.3440001
81	6	mikko	0	0	1515.35899997
82	1	kata	0	1	1533.35899997
83	5	kata	1	1	1556.39100003
84	5	mikko	1	1	1575.4059999
85	1	kata	0	1	1593.42199993
86	2	mikko	1	1	1617.43799996
87	3	mikko	1	1	1636.43799996
88	1	mikko	1	0	1660.45300007
89	3	mikko	0	1	1680.45300007
90	5	kata	0	1	1699.4690001
91	1	mikko	1	0	1719.48399997
92	7	kata	0	1	1738.48399997
93	4	mikko	0	1	1757.5
94	8	kata	1	0	1776.51600003
95	2	kata	1	1	1795.51600003
96	5	kata	1	1	1815.5309999
97	7	kata	0	0	1835.54699993
98	5	mikko	1	1	1853.56299996
99	7	kata	1	1	1873.57800007
100	8	mikko	0	1	1892.5940001
101	1	mikko	1	1	1911.5940001
102	1	mikko	0	0	1928.60899997
103	2	kata	1	0	1945.60899997
104	5	mikko	0	1	1963.625
105	5	kata	0	1	1981.64100003
106	1	kata	1	1	2001.64100003
107	6	kata	1	0	2020.6559999
108	3	mikko	1	0	2038.67199993
109	7	mikko	1	0	2058.68799996
110	2	mikko	1	0	2077.70300007
111	6	mikko	1	1	2097.7190001
112	2	kata	1	1	2114.7190001
113	3	mikko	1	1	2133.73399997
114	5	mikko	0	1	2152.75
115	8	mikko	0	1	2171.76600003
116	2	kata	1	0	2188.76600003
117	7	kata	1	1	2207.7809999
118	6	kata	1	1	2226.79699993
119	1	kata	0	1	2243.81299996
120	1	mikko	0	1	2260.81299996
121	3	kata	0	1	2279.82800007
122	8	kata	0	1	2297.82800007
123	5	mikko	0	1	2314.8440001
124	8	mikko	1	0	2331.85899997
125	5	mikko	1	0	2350.85899997
126	4	kata	0	1	2368.875
127	4	mikko	0	1	2387.875
128	8	kata	1	0	2404.89100003
129	5	kata	0	1	2423.9059999
130	5	kata	1	1	2441.92199993
131	5	kata	0	1	2459.92199993
132	8	mikko	0	0	2478.93799996
133	5	kata	0	1	2494.93799996
134	6	kata	0	0	2512.95300007
135	2	mikko	1	1	2530.9690001
136	8	mikko	1	1	2549.98399997
137	1	mikko	0	1	2566.98399997
138	5	kata	1	1	2586.0
139	4	mikko	1	1	2610.01600003
